ID,Project_Valuation
154239P0019,370.6287544585138
129270P0090,361.76679649406327
152329P0060,365.1819240122428
118217P0020,220.52096028617908
118896P0020,371.2845587837186
15167P00200,381.58466292104134
130197P0024,456.02841482377363
18083P00900,362.57649011776033
127606P0022,400.8249724066935
121719P0015,330.76192901339755
128116P0016,398.75804264788735
155951P0070,382.49864394050417
17814P00130,334.81825572727416
110749P0050,419.2331544780057
112533P0024,429.89651112771537
15874P00700,340.84085215465234
139445P0060,451.0758280412052
152390P0020,394.86000282714593
141371P0014,432.7177333418816
16682P00300,361.90872156517685
111633P0090,406.03460126832044
143467P0023,407.4725914461905
119927P0019,372.6944020724152
135054P0080,440.044438915363
125979P0010,470.27156767357974
110891P0070,355.06994465116105
148060P0021,341.64050754346783
18360P00240,368.5804566761625
117377P0018,253.3651951500076
121175P0080,331.26866421720297
141140P0018,388.28591619043317
12631P00230,389.59313214698443
129249P0015,372.99285690921
129900P0018,422.7798297336311
146851P0016,446.50109353197195
117293P0015,373.80971072863053
150654P0015,429.4878283904448
121789P0080,405.5729172159528
133288P0020,418.5681101724609
143723P0025,413.28314715563016
150143P0012,314.91072771622436
121590P0014,384.1154207349263
144726P0025,365.1796345523401
140578P0011,333.1690307440768
140588P0070,388.5917573957901
154083P0040,380.25306097312966
141593P0020,194.6891256439059
117305P0016,387.1574173042857
139960P0012,325.91540582406503
151255P0090,353.7568123635901
19788P00700,400.6874391405045
112718P0022,387.9894263449761
155456P0015,416.5433991817038
151120P0080,425.4223145194719
146965P0012,390.6403000971419
113855P0070,373.7869327446412
149488P0010,405.0338038131141
154041P0021,412.7604013694002
153304P0010,417.4755345075486
14155P00250,374.01691159533857
12820P00190,325.49992296899933
111808P0070,354.99903657001175
133506P0016,358.1192694629607
154135P0016,476.48737338777715
114335P0013,344.37590879340553
141351P0013,332.03435942169637
149505P0024,502.80444045010637
120975P0015,319.52277986661585
117104P0080,447.1650124691105
125285P0014,836.3707393770352
115037P0050,799.1648031815042
131223P0050,355.6201572731603
148226P0018,386.8852132343924
130173P0020,430.9396293300708
116478P0011,423.0233298790657
17342P00500,402.2017467105722
113587P0010,419.05248729976967
131045P0017,403.1878057583329
133412P0020,378.2020303401902
13472P00210,355.36573299647523
113095P0010,389.0028501714348
150651P0013,329.70829521844286
152930P0014,443.67787917449607
120155P0017,865.4645082395049
132571P0013,384.7962634385375
144427P0050,367.49967089696077
112559P0025,417.6565806286438
114939P0017,441.4387246567408
133700P0022,491.41494019658455
133782P0015,408.73743371902196
144480P0011,395.9815512134376
148954P0012,499.4444708927948
140470P0018,336.1340489148267
142332P0014,456.55283166054716
110462P0018,415.3232544654883
141536P0050,387.3806918382501
120062P0070,350.72211679456484
128024P0012,443.69813120293776
128795P0019,448.7434782959911
135110P0017,445.1894074162674
149552P0014,438.02411174562513
19668P00800,346.4784727150776
131074P0013,349.55000582127656
152641P0014,382.032897883181
147208P0014,362.5575647294937
15823P00600,472.4700747926212
16514P00700,425.68278269406767
121396P0019,368.64674836998336
15189P00230,339.18191422939236
112218P0016,449.0845016885816
136695P0023,359.7289523700302
137638P0015,436.8650593681881
153728P0070,393.9542295311425
123015P0022,431.18845746277503
135176P0025,368.1175660768405
145874P0040,430.6683905067027
18447P00110,368.46719209875033
117714P0013,350.8489455515986
114500P0060,448.6197378171614
141088P0060,445.31508911034825
142045P0050,375.6708633655024
112845P0011,321.1955498765795
155402P0016,464.92530386634223
146581P0050,384.11462241646825
135478P0023,419.2908995632168
155098P0080,390.5399129958734
135622P0010,476.63730687296777
152048P0022,443.169387333461
136470P0030,373.4481897925677
133361P0010,817.30401610589
132034P0025,355.79050226055284
1143P004000,405.17328363789846
17028P00150,347.10417147123604
122562P0015,400.6915746620672
148594P0018,368.586395528998
126907P0040,445.3676817664289
153636P0013,452.06299637909586
137115P0017,396.13892195469595
13796P00120,352.28045381086173
157117P0010,422.248550529142
134996P0015,341.4709803657037
127411P0030,336.15628664094436
112399P0013,378.0965283966536
145042P0017,322.8203456115785
115260P0017,331.45845628750743
11432P00250,392.04351528104314
137460P0070,422.53791437150016
19625P00140,390.5254012803761
144982P0019,432.7635684605527
141252P0090,412.03960187615127
142966P0015,426.2730222812018
152471P0030,0.0
152698P0020,453.2635506254232
147537P0010,356.7792129514244
131342P0015,497.25358518183714
137767P0025,391.9230830253389
121689P0040,341.65451839680225
125150P0090,379.0115077069708
151314P0017,387.3059139095465
114599P0060,388.4235069271647
128841P0016,346.28656737673833
14510P00180,318.3063379210947
114690P0013,347.57707828119635
154766P0025,383.6374362483177
114898P0017,343.12592633737734
120161P0015,343.9624843275821
125505P0013,365.7109082717311
150700P0025,344.09649490942627
113346P0011,422.31591236120835
138729P0030,368.90589224591133
156966P0025,368.65042410372087
148083P0011,396.88960348747713
